numPNsPerKC,numPNKCsynapsesPerKC,meanWPerKC,PNDistToPedPerKC,numAPLKCsynapsesPerKC,KCindex,bodyId,subtype
5,65,13,60.9096359375,6,0,300968622,KCab-m_R
4,36,9,71.8349390625,9,1,301309622,KCab-c_R
3,51,17,65.3215104166667,12,2,301314150,KCab-c_R
6,48,8,82.4943046875,5,3,301314154,KCab-c_R
4,46,11.5,62.3389189453125,11,4,301314208,KCab-c_R
5,66,13.2,77.7628015625,9,5,301318641,KCab-c_R
5,74,14.8,56.3380875,4,6,331662668,KCab-m_R
5,103,20.6,59.4012546875,10,7,331662717,KCab-s_R
4,73,18.25,70.1197158203125,15,8,331999156,KCab-c_R
6,82,13.6666666666667,65.5384252232143,5,9,331999213,KCab-s_R
3,64,21.3333333333333,46.9593723958333,7,11,332003629,KCab-m_R
4,69,17.25,54.9529892578125,7,15,332007728,KCab-m_R
5,93,18.6,60.47132890625,6,16,332008063,KCab-m_R
6,82,13.6666666666667,54.7087194010417,12,17,332008082,KCab-m_R
5,73,14.6,73.1267708333333,8,18,332340127,KCab-s_R
5,80,16,51.4306546875,5,19,332340236,KCab-m_R
4,28,7,63.8257875976563,7,20,332344539,KCab-c_R
6,31,5.16666666666667,67.5667145647322,10,21,332344592,KCab-c_R
7,65,9.28571428571429,82.069484375,17,22,332344670,KCab-c_R
5,41,8.2,78.40491875,11,23,332344760,KCab-c_R
4,69,17.25,62.5152822265625,4,24,332344908,KCab-m_R
4,28,7,56.617028125,12,25,332349228,KCab-c_R
5,90,18,70.315725,8,26,332349327,KCab-c_R
4,90,22.5,46.232279296875,11,27,332353106,KCab-m_R
6,80,13.3333333333333,66.440919921875,11,28,332353336,KCab-m_R
8,82,10.25,59.3209780273438,9,29,332353438,KCab-s_R
3,58,19.3333333333333,62.33535546875,13,30,332353566,KCab-m_R
4,60,15,90.908185546875,14,31,332685594,KCab-c_R
6,63,10.5,72.1436796875,8,32,332685751,KCab-c_R
6,94,15.6666666666667,69.6229313616071,17,33,332685755,KCab-c_R
3,54,18,48.9212096354167,10,34,332689776,KCab-m_R
3,70,23.3333333333333,72.7594869791667,11,35,332690153,KCab-c_R
